"Spkid","Surname","Name","Spec.type","OCC","Diameter (km)","Launch date (one-way)","Min total dv (km/s)","TOF (days)","Launch date (round-trip)","Min total dv (km/s)","Mission duration (days)","Stay (days)"
"2000433","1898 DQ","Eros","S","0","16,84","2042-02-01","7.02","270","2025-08-13","14.41","348","8"
"2000719","1911 MT","Albert","S","0","2,71 ÷ 6.07","2048-04-14","11.42","180","2048-04-22","23.15","448","8"
"2000887","1918 DB","Alinda","S","0","4,2","2047-02-15","10.32","420","2025-01-01","20.59","388","8"
"2001036","1924 TD","Ganymed","S","0","37,675","2037-06-11","16.89","160","2037-05-18","31.36","348","8"
"2001580","1950 KA","Betulia","C","0","5,8","2032-06-13","19.78","440","2027-12-09","40.73","350","10"
"2001620","1951 RA","Geographos","S","0","2,56","2026-05-12","10.45","440","2040-02-20","14.38","370","10"
"2001627","1929 SH","Ivar","S","0","9,12","2046-03-24","8.24","140","2046-03-16","16.11","328","8"
"2001685","1948 OA","Toro","S","0","3,4","2044-10-28","9.34","420","2044-04-03","14.91","450","10"
"2001862","1932 HA","Apollo","Q","0","1,5","2046-09-16","10.64","190","2048-03-21","15.14","396","16"
"2001863","1948 EA","Antinous","Sq","0","2,1","2045-07-03","15.73","440","2042-07-27","21.53","408","8"
"2001864","1971 FA","Daedalus","Sr","0","3,7","2040-08-30","14.34","440","2040-03-31","21.87","362","32"
"2001865","1971 UA","Cerberus","S","0","1,2","2029-03-01","11.08","370","2044-10-28","15.40","370","80"
"2001866","1972 XA","Sisyphus","S","0","8,48","2046-10-18","20.21","430","2032-05-28","33.37","364","14"
"2001915","1953 EA","Quetzalcoatl","S","0","0,5","2046-03-24","15.23","440","2049-06-12","28.71","448","8"
"2001916","1953 RA","Boreas","S","0","3,5","2042-03-13","11.56","210","2042-03-13","23.73","368","8"
"2001917","1968 AA","Cuyo","Sl","0","5,7","2030-10-14","11.59","440","2030-03-20","23.54","370","10"
"2001943","1973 EC","Anteros","L","0","2,3","2038-05-13","6.61","400","2038-03-02","11.50","444","24"
"2001980","1950 LA","Tezcatlipoca","Sl","0","4,3","2049-10-26","13.95","420","2034-11-20","25.41","373","13"
"2001981","1973 EA","Midas","V","0","3,4","2032-07-31","25.86","80","2031-10-17","32.52","338","38"
"2002061","1960 UA","Anza","C","0","2,6","2035-09-10","8.20","60","2034-11-20","15.53","323","8"
"2002062","1976 AA","Aten","Sr","0","1,1","2031-07-05","10.03","220","2032-06-13","12.40","393","18"
"2002063","1977 HB","Bacchus","Sq","0","1,22 ÷ 2.72","2043-01-27","8.25","110","2043-01-27","10.05","443","98"
"2002100","1978 RA","Ra-Shalom","Xc","0","2,3","2047-03-27","9.64","190","2044-03-02","16.74","378","33"
"2002102","1975 YA","Tantalus","Q","0","1,649","2036-02-17","27.95","150","2035-07-08","36.31","353","38"
"2002201","1947 XC","Oljato","Sq","0","1,8","2044-04-03","10.59","380","2040-10-09","17.72","413","8"
"2002212","1978 SB","Hephaistos","S","0","5,7","2048-06-09","13.67","420","2038-10-20","26.44","413","23"
"2002340","1976 UA","Hathor","Sq","0","0,3","2045-07-27","9.10","130","2045-07-25","12.92","443","8"
"2002368","1977 RA","Beltrovata","S","0","2,3","2032-08-08","8.25","240","2035-05-19","18.17","418","13"
"2002608","1978 DA","Seneca","S","1","0,9","2028-06-18","13.39","440","2049-07-24","33.02","433","28"
"2003102","1981 QA","Krok","S","0","1,6","2049-10-10","10.37","440","2041-07-06","20.01","428","8"
"2003103","1982 BB","Eger","Xe","0","1,5","2033-10-22","13.68","380","2049-02-14","23.82","368","8"
"2003122","1981 ET3","Florence","S","0","4,9","2031-09-07","11.80","340","2031-03-11","22.38","353","8"
"2003199","1982 RA","Nefertiti","Sq","0","2,2","2049-08-15","17.30","360","2049-03-16","30.88","353","8"
"2003200","1983 TB","Phaethon","B","0","6,25","2026-07-07","21.27","280","2025-07-20","29.50","448","13"
"2003288","1982 DV","Seleucus","K","0","2,8","2040-05-02","8.28","440","2036-08-21","17.24","443","8"
"2003352","1981 CW","McAuliffe","A","0","2,35 ÷ 5.26","2030-01-15","7.36","340","2047-12-12","16.19","413","8"
"2003551","1983 RD","Verenia","V","0","0,9","2027-11-07","9.57","440","2025-02-20","29.49","413","8"
"2003552","1983 SA","Don Quixote","D","0","19","2044-02-15","22.35","280","2044-03-22","41.48","353","8"
"2003671","1984 KD","Dionysus","Cb","0","1,5","2036-06-24","10.50","420","2035-09-16","21.78","443","8"
"2003691","1982 FT","Bede","Xc","0","4,3","2034-03-31","11.36","250","2033-08-07","23.86","403","13"
"2003753","1986 TO","Cruithne","Q","0","2,071","2026-08-08","16.24","150","2025-08-09","23.92","448","73"
"2003757","1982 XB","Anagolay","S","0","0,5","2049-02-12","6.74","350","2049-03-26","15.28","443","8"
"2003908","1980 PA","Nyx","V","0","1","2043-12-13","7.12","360","2028-01-26","16.56","448","13"
"2004015","1979 VA","Wilson-Harrington","C","0","4","2039-09-21","9.55","260","2038-12-09","14.65","338","8"
"2004034","1986 PA","Vishnu","O","0","0,42","2038-11-05","10.65","430","2045-06-15","13.18","443","8"
"2004055","1985 DO2","Magellan","V","0","2,49","2035-09-02","11.94","420","2042-06-11","23.90","443","38"
"2004179","1989 AC","Toutatis","Sk","0","5,4","2031-12-04","9.08","440","2028-01-26","22.22","448","13"
"2004183","1959 LM","Cuno","Sq","0","3,651","2037-03-23","11.42","330","2028-07-24","20.72","428","23"
"2004197","1982 TA","Morpheus","Sq","0","1,8","2049-03-08","15.57","320","2027-03-12","27.05","443","8"
"2004341","1987 KF","Poseidon","O","0","2,25 ÷ 5.02","2049-01-27","11.05","420","2036-07-02","21.20","403","43"
"2004503","1989 WM","Cleobulus","Sq","0","2,41 ÷ 5.38","2039-01-16","9.47","340","2029-09-07","21.12","428","8"
"2004660","1982 DB","Nereus","Xe","0","0,33","2031-01-18","5.03","440","2030-02-14","8.88","398","8"
"2004688","1980 WF","","V","0","0,6","2043-02-12","8.86","440","2030-04-15","16.95","398","8"
"2004947","1988 TJ1","Ninkasi","Sq","0","0,86 ÷ 1.92","2049-11-11","8.42","230","2049-04-05","16.25","388","13"
"2004954","1990 SQ","Eric","S","0","10,8","2041-10-28","11.06","220","2041-02-16","21.21","398","8"
"2004957","1990 XJ","Brucemurray","S","0","3,499","2035-07-08","17.29","190","2032-10-31","28.35","403","13"
"2005131","1990 BG","","S","0","3,75 ÷ 8.37","2041-06-06","18.20","410","2039-01-18","28.36","358","13"
"2005143","1991 VL","Heracles","O","0","4,843","2034-04-16","13.04","290","2026-08-14","24.33","433","28"
"2005587","1990 SB","","Sq","0","3,57","2044-08-17","14.50","410","2037-08-16","24.86","413","8"
"2005604","1992 FE","","V","0","0,55","2041-09-02","8.16","330","2042-12-18","9.92","423","33"
"2005626","1991 FE","Melissabrucker","S","0","4,87 ÷ 10.89","2025-01-17","8.46","390","2035-03-10","18.96","443","8"
"2005646","1990 TR","","U","0","4,3","2037-05-18","9.11","150","2037-05-18","18.53","448","13"
"2005660","1974 MA","","Q","0","2,74 ÷ 6.12","2032-11-28","23.87","440","2030-12-21","31.87","398","8"
"2005751","1992 AC","Zao","X","0","2,3","2047-02-15","10.54","320","2049-06-14","24.01","398","8"
"2005828","1991 AM","","Q","0","2,25 ÷ 5.02","2031-07-21","17.04","440","2044-02-01","27.42","363","33"
"2005836","1993 MF","","S","0","3,56 ÷ 7.96","2026-10-11","10.53","400","2034-11-10","21.68","383","8"
"2006047","1991 TB1","","S","0","0,95 ÷ 2.12","2038-02-06","13.39","370","2026-02-25","21.38","398","8"
"2006053","1993 BW3","","Sq","0","3,72","2047-11-30","15.11","410","2042-01-22","23.86","383","8"
"2006455","1992 HE","","S","0","4,626","2034-08-14","21.72","440","2031-09-17","33.01","398","8"
"2006489","1991 JX","Golevka","Q","0","0,53","2042-07-03","9.63","420","2041-07-16","17.05","443","8"
"2006569","1993 MO","Ondaatje","Sr","0","1,58 ÷ 3.54","2045-07-03","11.21","380","2049-04-15","22.14","448","58"
"2006611","1993 VW","","V","0","1,50 ÷ 3.35","2035-05-29","10.53","270","2035-11-05","15.89","373","13"
"2007336","1989 RS1","Saunders","Sq","0","0,60 ÷ 1.33","2045-04-14","9.57","170","2038-06-12","18.89","433","13"
"2007341","1991 VK","","Sq","0","1,47 ÷ 3.29","2037-01-18","7.44","440","2026-03-07","14.47","323","8"
"2007358","1995 YA3","Oze","Sq","0","3,98 ÷ 8.89","2039-11-08","8.77","440","2046-12-27","19.30","398","8"
"2007474","1992 TC","","X","0","0,88 ÷ 1.96","2026-11-28","7.38","350","2039-06-17","14.30","368","8"
"2007480","1994 PC","Norwan","S","0","1,35 ÷ 3.01","2028-11-25","8.07","380","2047-01-06","14.47","383","8"
"2007482","1994 PC1","","S","0","1,052","2036-02-17","15.67","200","2035-07-18","22.48","368","8"
"2007753","1988 XB","","B","0","0,88 ÷ 1.96","2036-10-06","8.19","180","2045-04-26","12.83","393","18"
"2007822","1991 CS","","S","0","1,602","2034-09-15","18.11","180","2034-03-05","21.03","358","28"
"2007888","1993 UC","","U","0","3,29 ÷ 7.36","2032-03-09","18.88","440","2035-06-18","29.79","448","13"
"2007889","1994 LX","","V","0","1,68","2039-01-16","15.30","290","2048-07-19","24.84","358","43"
"2007977","1977 QQ5","","S","0","3,20 ÷ 7.16","2040-08-22","15.20","280","2049-12-31","27.01","398","8"
"2008176","1991 WA","","Q","0","1,46 ÷ 3.27","2045-12-02","26.73","440","2026-12-02","41.84","428","68"
"2008201","1994 AH2","","O","0","1,859","2026-03-25","14.05","440","2025-08-09","32.98","413","8"
