num mag diam albedo
246 8.66 49.976 0.243
2501 12.02 10.712 0.2395
289 9.75 35.215 0.1793
354 6.15 165.04 0.2248
446 8.89 49.0 0.2045
863 9.16 38.83 0.2539
1508 12.24 14.84 0.1019
2 4.1 512.588 0.154
3200 14.4 5.233 0.1121
6411 13.26 0 0
1 3.33 939.4 0.034
10 5.64 428.923 0.0532
128 7.7 163.0 0.0553
147 8.77 109.116 0.0461
150 8.6 130.974 0.0374
24 7.25 208.519 0.0511
444 8.08 157.568 0.0417
52 6.66 317.049 0.0381
688 11.02 46.087 0.0325
76 8.05 151.413 0.0464
85 7.96 165.0 0.0425
90 8.45 97.64 0.0772
93 7.9 158.0 0.0489
191 9.11 92.309 0.0471
210 9.38 69.541 0.0646
785 9.49 47.1 0.1274
175 8.65 114.16 0.047
106 7.8 182.1 0.0404
1300 11.66 28.936 0.0457
214 9.37 25.362 0.4905
2378 11.18 38.033 0.0412
38 8.49 99.165 0.0722
51 7.75 147.0 0.0649
54 7.99 143.0 0.055
70 8.2 128.0 0.0566
706 0 0 0
776 7.74 134.339 0.0785
105 8.75 105.043 0.0506
111 8.24 132.055 0.0512
13 6.91 202.248 0.0744
130 7.47 199.0 0.0459
19 7.5 211.0 0.0397
205 9.47 65.653 0.0668
2099 15.11 6.647 0.0361
266 8.76 105.666 0.0496
34 8.79 107.462 0.0466
345 9.09 100.791 0.0402
41 7.64 187.611 0.0441
48 7.14 215.134 0.0532
49 8.03 144.705 0.0518
50 9.47 93.624 0.0328
58 9.04 96.088 0.0463
66 9.51 73.478 0.0514
78 8.34 126.877 0.0506
84 9.34 78.608 0.0525
1143 8.44 115.263 0.0559
1471 11.18 33.292 0.0537
1542 10.6 44.424 0.0515
17274 16.87 3.208 0.0307
199 8.52 65.993 0.1585
2246 10.48 47.71 0.0499
267 10.25 50.994 0.054
269 9.74 52.046 0.0828
279 8.61 124.333 0.0411
322 9.18 61.495 0.0994
3248 11.05 37.525 0.0477
3317 8.43 120.745 0.0514
570 0 0 0
908 10.75 25.274 0.1386
944 10.55 42.0 0.0603
999995 0 0 0
114 8.5 94.104 0.0794
1148 10.28 28.527 0.1677
131 10.03 32.628 0.1614
15 5.41 271.324 0.1645
1903 10.56 29.33 0.1226
221 7.76 85.701 0.1893
2957 11.04 24.442 0.1134
3028 10.89 28.474 0.096
3199 15.03 3.1 0.1788
36284 15.05 0 0
42 7.71 102.0 0.1399
513 0 0 0
579 8.04 103.493 0.1003
653 0 0 0
661 0 0 0
742 9.65 40.243 0.1505
1332 10.64 45.634 0.047
2085 11.95 13.096 0.1709
234 9.14 46.3 0.1819
2354 12.0 12.456 0.1804
236 8.24 81.924 0.1331
2448 11.04 35.98 0.0524
2732 12.06 11.057 0.2167
3734 12.94 9.039 0.1441
3844 11.85 15.466 0.1344
387 7.54 97.0 0.1809
402 0 0 0
460 10.77 21.415 0.1895
4737 13.03 8.809 0.1397
5840 12.65 10.179 0.1485
599 8.73 70.542 0.1143
606 0 0 0
673 10.14 37.361 0.1112
679 9.17 56.285 0.1197
729 9.59 52.3 0.0942
7763 13.12 7.797 0.1641
824 10.25 31.179 0.1443
86450 18.45 0.64 0.1798
3628 12.94 7.046 0.2372
162058 17.99 0.85 0.1557
1862 16.08 1.55 0.2719
3753 15.46 1.834 0.3438
4688 19.6 0 0
5143 14.06 3.4 0.3632
5660 15.44 0 0
66146 14.41 2.896 0.3626
7341 16.96 0.793 0.4619
349 6.04 139.785 0.3468
101 8.42 61.398 0.2008
1011 12.69 7.56 0.2594
103 7.79 75.007 0.2404
1036 9.26 38.0 0.2418
1065 12.14 8.97 0.3058
108 7.99 69.5 0.2329
1126 11.95 14.252 0.1443
1131 12.99 6.421 0.2728
1139 12.58 8.907 0.2068
1147 11.64 13.548 0.2125
115 7.79 92.0 0.1598
119 8.39 55.93 0.2487
1198 14.41 5.43 0.1031
1204 12.04 10.912 0.2266
133 8.1 86.325 0.1364
1350 10.73 21.8 0.1897
14 6.55 155.0 0.1764
1433 11.81 13.739 0.1767
151 9.36 40.679 0.1924
1565 12.77 7.645 0.2357
158 9.37 37.103 0.2292
1620 15.27 2.332 0.2533
162781 17.96 0 0
1640 13.49 6.118 0.1896
1642 10.95 19.885 0.1862
1658 11.59 14.011 0.208
1659 10.04 29.599 0.1943
1660 11.6 11.421 0.3102
1667 12.0 9.9 0.2856
17 7.93 72.885 0.2238
170 9.36 35.343 0.2549
1751 12.09 10.955 0.2147
18 6.35 142.538 0.2507
1839 12.05 8.636 0.3584
1848 11.21 17.202 0.1958
1858 12.2 10.8 0.1996
1866 12.5 5.906 0.5064
18736 15.99 0 0
188 9.31 35.488 0.2648
1916 14.95 2.77 0.241
192 7.21 88.0 0.2979
1943 15.7 2.305 0.1745
1980 13.85 5.033 0.2011
20 6.54 147.0 0.1979
2074 14.1 4.184 0.2311
20790 16.64 0 0
2107 11.65 13.833 0.2019
2157 12.18 13.42 0.1317
226 9.88 28.599 0.2412
22771 16.96 0 0
2335 13.81 5.087 0.2042
2353 11.76 12.811 0.2128
2386 11.75 11.525 0.2653
2396 11.65 10.479 0.3519
2401 12.76 8.693 0.184
243 10.1 31.4 0.21
244 12.0 12.1 0.1912
24475 16.4 0 0
25 7.88 77.485 0.2073
2521 11.9 14.414 0.1477
258 8.3 64.941 0.2005
26 7.56 82.902 0.2432
264 8.3 52.72 0.3042
27 7.08 95.6 0.2845
2715 11.71 13.513 0.2002
278 9.4 33.04 0.2812
28 7.26 135.0 0.1209
2875 12.48 10.238 0.1716
288 9.9 31.635 0.1935
29 5.99 204.0 0.1705
2911 11.92 12.473 0.1937
295 10.06 30.693 0.1774
2977 12.61 8.3 0.2317
30 7.59 88.0 0.2099
32 7.78 81.779 0.2041
3255 13.55 6.535 0.1572
33 8.51 53.704 0.2416
3395 11.93 11.058 0.2442
3402 15.22 2.407 0.2489
3430 12.71 8.25 0.2139
346 7.38 92.318 0.2315
3491 12.33 8.001 0.3227
352 10.14 24.379 0.2612
37 7.39 118.0 0.1404
3701 12.65 9.013 0.1894
371 8.77 48.444 0.2337
378 9.83 28.841 0.2483
3788 12.38 9.8 0.2054
3873 12.9 6.953 0.2528
389 7.99 88.035 0.1451
3903 12.15 9.494 0.2705
3910 12.02 12.6 0.1731
40 6.55 113.0 0.3318
403 9.09 49.453 0.167
433 10.41 16.891 0.27
4352 11.76 11.0 0.2886
4417 12.24 11.447 0.1713
453 10.65 20.469 0.2317
456 9.14 39.68 0.2477
4570 13.47 4.471 0.3616
4713 13.28 6.4 0.2102
485 8.28 70.843 0.1716
4995 13.52 0 0
5 6.99 114.0 0.2174
5013 12.89 10.09 0.1211
5230 13.36 5.244 0.2909
532 0 0 0
5401 12.39 9.918 0.1987
5407 14.42 4.012 0.1872
54690 17.5 0 0
5641 14.06 4.157 0.2429
5685 11.77 13.257 0.1969
57 7.0 119.895 0.1947
6047 17.84 0 0
61 7.76 86.748 0.1847
625 0 0 0
63 7.13 93.0 0.2871
631 0 0 0
6386 12.84 8.421 0.1821
6585 14.63 4.25 0.1375
67 8.42 55.1 0.2493
670 9.5 36.111 0.2147
675 8.16 67.814 0.2091
699 11.45 12.727 0.2868
7 5.64 210.419 0.2212
716 0 0 0
719 0 0 0
73 9.09 44.539 0.2059
782 11.37 13.928 0.2578
793 10.25 28.7 0.1703
8 6.61 144.8 0.1912
82 8.28 58.205 0.2542
832 11.24 16.472 0.2078
8334 13.29 7.84 0.1388
8444 14.05 3.766 0.2987
847 10.12 23.961 0.2754
913 12.09 9.995 0.2579
925 8.54 58.123 0.2006
929 11.68 12.252 0.2504
985 12.84 0 0
98943 18.74 0 0
999997 0 0 0
999998 0 0 0
999999 0 0 0
5261 16.11 2.279 0.1223
984 9.59 33.394 0.2311
11 6.73 150.333 0.1588
1329 11.06 21.0 0.1509
1374 13.2 0 0
138258 18.98 0.27 0.6199
1494 12.3 8.129 0.3213
1685 14.28 3.6 0.2645
1807 12.6 9.204 0.1902
1864 14.86 2.711 0.2734
19356 17.01 0.951 0.3067
2063 17.21 1.03 0.2175
2064 12.71 8.123 0.2206
20786 14.75 0 0
2873 13.1 6.922 0.2121
3 5.18 253.31 0.2332
3102 16.17 1.8 0.1856
3122 14.1 4.4 0.209
3198 13.14 0 0
35107 16.91 0.914 0.364
39 5.97 164.0 0.2688
3920 13.18 6.364 0.2331
3949 13.56 0 0
4179 15.3 2.725 0.157
4197 15.03 3.038 0.1862
43 7.96 59.0 0.3322
4407 12.7 9.433 0.1651
512 0 0 0
6239 18.61 0.474 0.2828
720 0 0 0
86819 17.47 0.927 0.2113
1020 12.27 10.253 0.2077
1228 11.54 16.001 0.167
137062 16.77 1.189 0.2447
1662 11.71 12.46 0.2355
180 10.34 22.7 0.2506
19127 15.59 0 0
2042 12.87 8.35 0.1802
237 9.19 43.6 0.1959
2504 12.05 9.7 0.2841
3363 12.27 9.624 0.2357
3511 12.23 9.68 0.2417
3635 14.88 2.94 0.2282
3858 14.05 4.305 0.2286
4558 12.85 7.066 0.2563
53435 14.74 2.934 0.2607
5379 12.99 6.277 0.2855
5587 13.89 3.894 0.3238
5817 13.01 6.931 0.2299
6455 14.1 4.286 0.2203
808 0 0 0
89355 15.8 1.608 0.3269
99907 17.93 0.643 0.2875
2965 12.62 8.686 0.2096
4451 12.25 11.484 0.1686
308 8.21 133.094 0.0518
596 8.97 100.379 0.0453
773 9.17 109.335 0.0317
96 7.69 160.201 0.0578
1459 10.51 29.19 0.1296
1904 11.16 13.5 0.333
1929 12.96 7.922 0.1842
2045 12.21 9.639 0.2483
2442 12.85 8.33 0.1844
2566 12.48 7.339 0.334
2579 13.62 4.361 0.331
2851 12.5 8.84 0.226
2912 12.89 6.52 0.2901
3155 12.58 0 0
3908 17.45 1.0 0.1849
4 3.25 525.4 0.38
4038 13.66 0 0
4055 14.94 2.469 0.3062
4188 13.0 6.601 0.2558
5111 12.88 5.302 0.4428
5604 17.38 0.952 0.2177
153 7.77 165.957 0.05
22 6.81 152.835 0.1428
87 6.95 272.925 0.0394
999996 0 0 0
21 7.51 98.0 0.19
739 8.88 111.425 0.0399
97 7.84 85.0 0.1787
132 8.96 45.816 0.2193
2035 12.43 5.571 0.607
216 7.11 118.717 0.1795
3103 15.31 1.244 0.8578
434 11.24 9.692 0.6001
64 7.8 46.33 0.6242
77 8.65 61.821 0.1602
1094 11.68 18.234 0.1131
