num mag diam albedo
100926 16.64 1.174 0.283
1011 12.69 7.56 0.2594
10115 17.11 0.985 0.2607
10145 17.0 0 0
10150 15.47 0 0
101955 20.68 0.488 0.044
102528 13.64 13.425 0.0343
10302 19.45 0.245 0.4883
1036 9.26 38.0 0.2418
108519 17.95 1.88 0.033
11066 15.23 2.358 0.257
1131 12.99 6.421 0.2728
1139 12.58 8.907 0.2068
11398 16.39 1.435 0.2384
11405 15.27 2.314 0.2572
1198 14.41 5.43 0.1031
1204 12.04 10.912 0.2266
12711 16.04 1.94 0.1801
1310 11.51 12.669 0.2739
132 8.96 45.816 0.2193
13553 16.54 2.91 0.0505
136617 17.97 0.62 0.298
136923 16.31 3.066 0.0562
136993 17.85 0.758 0.2227
137032 16.67 1.305 0.2228
137062 16.77 1.189 0.2447
137126 18.14 0 0
137170 14.67 4.139 0.1397
137199 16.98 0.81 0.4346
1374 13.2 0 0
137427 15.29 2.9 0.1608
137799 18.79 0 0
138258 18.98 0.27 0.6199
138404 19.4 0.392 0.1997
138524 16.88 0 0
138846 16.1 2.014 0.1581
138852 20.31 0 0
138911 19.44 0.346 0.2471
139622 18.46 0 0
141018 19.04 0 0
141052 17.49 0 0
142040 16.26 1.274 0.341
143381 16.21 0 0
143624 15.96 2.141 0.1592
143651 16.09 2.301 0.1222
14402 18.77 0.589 0.1581
144411 16.55 2.14 0.0925
145656 16.44 1.36 0.2535
1468 12.73 6.98 0.2933
1508 12.24 14.84 0.1019
152560 19.23 0.29 0.4268
152563 19.71 0.368 0.1704
152931 16.34 1.622 0.1954
153591 17.11 2.5 0.0405
153814 18.29 0.932 0.0982
154029 16.51 1.628 0.1659
154276 17.64 1.06 0.1382
154302 17.68 0 0
154347 16.08 0 0
155334 17.23 1.15 0.1713
1565 12.77 7.645 0.2357
1566 16.54 1.069 0.3742
15745 17.41 0.77 0.3236
1580 14.69 5.39 0.0809
159402 16.62 1.2 0.2759
159635 18.16 0 0
159857 15.47 3.07 0.1216
161998 17.6 0 0
1620 15.27 2.332 0.2533
162058 17.99 0.85 0.1557
162149 17.52 0.87 0.2291
162173 19.55 0.896 0.045
162186 15.02 0 0
162483 17.53 0.757 0.2998
1627 12.84 7.424 0.2343
162781 17.96 0 0
162911 19.33 0.334 0.2935
162998 18.17 0.875 0.1245
163000 19.24 0.45 0.1756
163081 18.57 0.412 0.3884
163249 18.71 0 0
163364 18.91 0 0
163697 20.08 0 0
1640 13.49 6.118 0.1896
164202 20.91 0.158 0.306
16834 15.8 1.927 0.2277
1685 14.28 3.6 0.2645
16960 14.4 0 0
170502 17.36 0 0
17274 16.87 3.208 0.0307
1747 13.57 5.228 0.2412
17511 17.32 0 0
175706 18.32 1.694 0.0289
180186 17.58 3.04 0.0178
1862 16.08 1.55 0.2719
1864 14.86 2.711 0.2734
1865 16.79 1.2 0.2359
1866 12.5 5.906 0.5064
18736 15.99 0 0
18882 16.15 0 0
189552 16.94 0 0
19127 15.59 0 0
1916 14.95 2.77 0.241
1917 14.41 3.15 0.3065
192563 17.34 0 0
19356 17.01 0.951 0.3067
1943 15.7 2.305 0.1745
1951 14.09 3.495 0.3343
19764 16.11 1.569 0.2581
1980 13.85 5.033 0.2011
1981 15.28 1.77 0.4356
2000PG3 16.14 4.281 0.0337
2000QN130 18.37 1.082 0.0677
2000SL 18.25 0 0
2000WL63 20.02 0 0
2001SG286 20.91 0 0
2001YE4 20.92 0 0
2002AL14 17.97 0.785 0.1859
2002AV 20.74 0 0
2002NW16 18.15 0.845 0.1359
2002NX18 17.62 2.211 0.0323
2002NY40 18.96 0.28 0.5871
2002TP69 21.87 0 0
2002TS67 19.14 0 0
2002UN 17.41 0 0
2002VP69 18.23 0 0
2003FT3 18.68 0 0
2003GA 21.45 0 0
2003UB5 19.26 0 0
2004LU3 18.62 0 0
2004OB 18.96 0 0
2004QD3 19.43 0.61 0.0802
2005AB 17.58 0 0
2007LE 19.62 0 0
2007RU17 18.14 0 0
200840 17.79 0 0
2008DE 19.64 0.3 0.2734
2008QS11 19.82 0.45 0.1029
2009SQ104 21.13 0 0
2011BT15 21.7 0.097 0.3922
2011EZ78 17.22 0 0
2011WV134 17.22 0 0
2063 17.21 1.03 0.2175
2064 12.71 8.123 0.2206
2074 14.1 4.184 0.2311
2078 13.03 5.606 0.3449
20790 16.64 0 0
2099 15.11 6.647 0.0361
2100 16.23 2.3 0.1075
2102 16.0 1.45 0.3344
21088 14.4 3.45 0.2579
214869 16.51 0 0
217796 17.23 0 0
217807 18.39 0.73 0.146
219071 17.13 0.657 0.5753
2201 15.35 5.726 0.039
2212 13.51 5.185 0.2592
22753 17.69 0 0
22771 16.96 0 0
2335 13.81 5.087 0.2042
2340 20.43 0 0
236716 17.92 0 0
241662 17.66 0.909 0.1845
242187 17.99 0.605 0.3073
24445 14.7 0 0
24475 16.4 0 0
2449 13.96 3.12 0.4729
24761 17.37 0 0
25143 19.26 0.326 0.27
25330 16.74 2.693 0.049
253841 17.28 0 0
25916 13.78 5.655 0.1699
267494 16.18 0 0
26760 15.5 5.036 0.0439
283460 18.48 0.7 0.1462
285263 17.28 2.854 0.0266
29075 17.28 1.351 0.1185
