
number of asteroid types: 18
Epoch [1/15], Train Loss: 1.8536, Val Loss: 0.3229
Epoch [2/15], Train Loss: 1.6649, Val Loss: 0.1673
Epoch [3/15], Train Loss: 0.2718, Val Loss: 0.1308
Epoch [4/15], Train Loss: 0.1275, Val Loss: 0.1030
Epoch [5/15], Train Loss: 0.1833, Val Loss: 0.0769
Epoch [6/15], Train Loss: 0.0452, Val Loss: 0.1047
Epoch [7/15], Train Loss: 0.0048, Val Loss: 0.0882
Epoch [8/15], Train Loss: 0.3077, Val Loss: 0.0702
Epoch [9/15], Train Loss: 0.0064, Val Loss: 0.1128
Epoch [10/15], Train Loss: 0.0033, Val Loss: 0.0832
Epoch [11/15], Train Loss: 0.0065, Val Loss: 0.1125
Epoch [12/15], Train Loss: 0.3818, Val Loss: 0.0791
Epoch [13/15], Train Loss: 0.0000, Val Loss: 0.0860
Epoch [14/15], Train Loss: 0.0000, Val Loss: 0.0817
Epoch [15/15], Train Loss: 0.6014, Val Loss: 0.1377
