
number of asteroid types: 18
Epoch [1/15], Train Loss: 2.0048, Val Loss: 0.2739
Epoch [2/15], Train Loss: 0.3665, Val Loss: 0.1283
Epoch [3/15], Train Loss: 0.3485, Val Loss: 0.0927
Epoch [4/15], Train Loss: 0.1211, Val Loss: 0.0775
Epoch [5/15], Train Loss: 0.0159, Val Loss: 0.0469
Epoch [6/15], Train Loss: 0.0850, Val Loss: 0.0419
Epoch [7/15], Train Loss: 0.0027, Val Loss: 0.0271
Epoch [8/15], Train Loss: 0.0025, Val Loss: 0.0203
Epoch [9/15], Train Loss: 0.9700, Val Loss: 0.0541
Epoch [10/15], Train Loss: 0.0010, Val Loss: 0.0102
Epoch [11/15], Train Loss: 0.0009, Val Loss: 0.0076
Epoch [12/15], Train Loss: 0.0443, Val Loss: 0.0324
Epoch [13/15], Train Loss: 0.0001, Val Loss: 0.0091
Epoch [14/15], Train Loss: 0.0003, Val Loss: 0.0053
Epoch [15/15], Train Loss: 0.0159, Val Loss: 0.0073
